raison_sociale,gouvernorat,delegation,secteur_nat,responsable,telephone,email,effectif_total,export
PATISSERIE LE PACHA,Monastir,Monastir,Industries agricoles et alimentaires,MED AMEUR BOUZGARROU,(216-)  73 906 425,patisserielepacha@hotmail.com,10,NON TOTALEMENT EXPORTATRICE
STE BM BROSSES,Monastir,Sahline,Autres industries manufacturières,HAMADI BARKACHE,(216-)  73 525 252,commercial2@bmb.com.tn,150,NON TOTALEMENT EXPORTATRICE
HELIAPACK,Monastir,Ksar hellal,"Industrie du papier et du carton, édition et imprimerie",WASSIM AMMAR,(216-)  98 405 152/ 73 545 562,direction@heliapack.com,41,NON TOTALEMENT EXPORTATRICE
MENUISERIE AJMI MANSOUR,Monastir,Monastir,Autres industries manufacturières,MANSOUR AJMI,(216-)  73 530 560,mansour.ajmi@topnet.tn,30,NON TOTALEMENT EXPORTATRICE
STE CERAMIQUE MOKNINE,Monastir,Moknine,Fabrication d'autres produits non métalliques,MOHAMED JERBI,(216-)  73 475 035,jerbihatem@yahoo.fr,111,NON TOTALEMENT EXPORTATRICE
CHAUSSETTES ABIR,Monastir,Teboulba,Industries textiles et habillement,SALAH NAKBI,(216-)  73 495 100,mednakbi@gmail.com,19,NON TOTALEMENT EXPORTATRICE
STE BRIQUETERIE DE MAZDOUR,Monastir,Bembla,Fabrication d'autres produits non métalliques,MOHAMED BEN HADJ SALEM,(216-)  73 272 710/ 73 414 463,sbm_mazdour@yahoo.fr,290,NON TOTALEMENT EXPORTATRICE
IMPRESSION &TEINTURE DU SAHEL,Monastir,Sayada lamta bouhjar,Industries textiles et habillement,FETHI GAALICHE,(216-)  73 434 609,acceuil@gaaliche.com,307,NON TOTALEMENT EXPORTATRICE
STE TNNE DES INDUSTRIES METALLIQUES,Sousse,Kalaa kebira,Métallurgie et travail des métaux,SALEM BOUMIZA,(216-)  73 200 704/ 98 400 562,sotim@topnet.tn,35,NON TOTALEMENT EXPORTATRICE
STE IND  DE SACHERIE,Monastir,Sahline,Industrie du caoutchouc et des plastiques,ALI BELKHERIA,(216-)  73 422 266/ 73 422 061,s.i.s@topnet.tn,100,NON TOTALEMENT EXPORTATRICE
FERMYL CONFECTION,Monastir,Bembla,Industries textiles et habillement,SOPHIE PINAU,(216-)  73 412 344,fermyl.admin@topnet.tn,155,TOTALEMENT EXPORTATRICE
STE DE FABRICATION D'ARTICLES DE MARQUE,Monastir,Teboulba,Industries textiles et habillement,JEAN FRANCOIS GEORGANIDIS,(216-)  73 479 223,balkis.rached@groupechantelle.com,250,TOTALEMENT EXPORTATRICE
LES DES D'OR,Monastir,Sahline,Industries textiles et habillement,BERNARD CHARBONIER,(216-)  73 525 188,f.blais@desdor.com,190,TOTALEMENT EXPORTATRICE
STE BECOTEX,Monastir,Jammel,Industries textiles et habillement,RIADH MENSI,(216-)  73 487 482,becotex2@planet.tn,48,TOTALEMENT EXPORTATRICE
COURTEX,Monastir,Bembla,Industries textiles et habillement,ALEXANDRE CLARY,(216-)  73 412 290,olfa@jct-courtex.com,89,TOTALEMENT EXPORTATRICE
DEMCOTEX,Monastir,Monastir,Industries textiles et habillement,JOHN DE MEIRSMAN,(216-)  73 530 159/ 73 532 158,ane@demcointer.com,214,TOTALEMENT EXPORTATRICE
AZUREX (MENZEL HARB),Monastir,Bembla,Industries textiles et habillement,NASREDDINE BELKHIRIA,(216-)  73 478 404,azurex@olfagrp.com,137,TOTALEMENT EXPORTATRICE
STE MESJED AISSA CONFECTION,Monastir,Sahline,Industries textiles et habillement,ABDERRAHMEN CHTOUROU,(216-)  73 422 388,contact@maco-confection.net,165,TOTALEMENT EXPORTATRICE
RBC,Monastir,Teboulba,Industries textiles et habillement,RIDHA BRAHAM,(216-)  73 479 850,info.rbc@gnet.tn,250,TOTALEMENT EXPORTATRICE
Z SILVA INTERNATIONAL,Mahdia,Ksour essaf,Industries textiles et habillement,ZOUHEIR CHAOUCH,(216-)  73 662 519,z.silva@planet.tn,350,TOTALEMENT EXPORTATRICE
STE LE CAVALIER VERT,Monastir,Ksibet el mediouni,Industries textiles et habillement,FETHI BEN MONGI AMMAR,,contact@cavaliervert.com,40,TOTALEMENT EXPORTATRICE
BELLE ET HAUTE COUTURE,Monastir,Moknine,Industries textiles et habillement,KAMEL BEN HALIMA,(216-)  73 474 820,bhc@gnet.tn,50,TOTALEMENT EXPORTATRICE
STE SATEX (SIDI ALOUANE),Mahdia,Sidi alouane,Industries textiles et habillement,SAMI AIDI,(216-)  93 300 314/ 73 659 751,satex.satex@topnet.tn,46,TOTALEMENT EXPORTATRICE
HUILERIE CHERIF MOHAMED,Gafsa,Gafsa sud,Industries agricoles et alimentaires,MOHAMED CHERIF,(216-)  76 222 170/ 21 429 254,,14,NON TOTALEMENT EXPORTATRICE
MONDIAL INDIGO,Monastir,Bembla,Industries textiles et habillement,ABDERRAZAK ABDALLAH,(216-)  73 478 456,fact.m_indigo@planet.tn,100,TOTALEMENT EXPORTATRICE
JCM CONFECTION,Monastir,Beni hassen,Industries textiles et habillement,CLAUDE MOURET,(216-)  73 456 124/ 73 456 189,jcm.corsetterie@planet.tn,402,TOTALEMENT EXPORTATRICE
MOKNINE CONFECTION,Monastir,Moknine,Industries textiles et habillement,KAMEL BEN HALIMA,(216-)  73 436 066/ 73 439 588,maknatex@gnet.tn,52,TOTALEMENT EXPORTATRICE
DELAKO ( KSAR HELLAL ),Monastir,Ksar hellal,Industries textiles et habillement,LUC ROGER AMPE,(216-)  73 450 130,delako@topnet.tn,70,TOTALEMENT EXPORTATRICE
MENCO,Monastir,Bembla,Industries textiles et habillement,MONCEF JAZIRI,(216-)  73 420 947,menco@topnet.tn,135,TOTALEMENT EXPORTATRICE
INDUSTRIES MAGHREBINES DE FILATURE,Monastir,Zeramdine,Industries textiles et habillement,FRAJ M'BAREK,(216-)  98 406 683/ 24 906 683,imafil@topnet.tn,20,NON TOTALEMENT EXPORTATRICE
STE INDUSTRIELLE ET COMMERCIALE DE KORBA (SIK),Nabeul,Korba,Industries textiles et habillement,MONCEF BOUFAIED,(216-)  55 408 558/ 72 234 244,sick@planet.tn,11,NON TOTALEMENT EXPORTATRICE
L'ENFANT TEX,Monastir,Moknine,Industries textiles et habillement,SAYDA KERKENI,(216-)  73 471 308,enfantex@gnet.tn,28,TOTALEMENT EXPORTATRICE
ETS HAJ KACEM ABDERRAHMANE,Sfax,Sfax sud,Métallurgie et travail des métaux,ABDERRAHMEN HAJ KACEM,(216-)  74 670 983,,12,NON TOTALEMENT EXPORTATRICE
STE RUBANERIE DU CENTRE,Monastir,Ksar hellal,Industries textiles et habillement,SONIA SANAA,(216-)  73 450 399/ 73 450 057,admin@rubacentre.com,10,TOTALEMENT EXPORTATRICE
INTERTEX,Monastir,Ksibet el mediouni,Industries textiles et habillement,OLIVE BERNARD,(216-)  73 559 649,intertex@gnet.tn,80,TOTALEMENT EXPORTATRICE
STE BRIQUETERIE GAFSI,Monastir,Ksar hellal,Fabrication d'autres produits non métalliques,HABIB GAFSI,(216-)  73 475 671,,19,NON TOTALEMENT EXPORTATRICE
SEAMTECH,Sousse,Sidi Abdelhamid,Autres industries manufacturières,LISE PEMPLROIT,(216-)  73 322 446,seamtech@planet.tn,140,TOTALEMENT EXPORTATRICE
STE TNNE DE GANTS DE SECURITE,Monastir,Moknine,Industries textiles et habillement,VINCENT ANDRE GAUDILLAT,(216-)  73 400 141,rbey@wleistgs.com,80,TOTALEMENT EXPORTATRICE
STE PATISSERIE PRINCIERE LE PRINCE,Tunis,Bab bhar,Industries agricoles et alimentaires,TAHAR BEN GUIRAT,(216-)  71 259 522/ 71 320 270,resto.prince@planet.tn,110,NON TOTALEMENT EXPORTATRICE
JAAM-TEX,Monastir,Monastir,Industries textiles et habillement,JEAN MARC GRANGER,(216-)  73 530 450,granger.jm@planet.tn,55,TOTALEMENT EXPORTATRICE
STE PLASTI PHARM DE TUNISIE,Monastir,Ksibet el mediouni,Industrie du caoutchouc et des plastiques,MAJDI AMMAR,(216-)  73 555 090/ 22 509 500,plastipharm@yahoo.fr,30,NON TOTALEMENT EXPORTATRICE
LES ARMATURES DU CENTRE,Monastir,Jammel,Métallurgie et travail des métaux,RADHOUANE SGHAIER,(216-)  98 229 351/ 97 480 169,armasghaier@gmail.com,15,NON TOTALEMENT EXPORTATRICE
SOTUFOMA NEW,Monastir,Jammel,Fabrication de machines et équipements,ALI HADDAD,(216-)  73 486 086/ 73 482 654,sotufoma@yahoo.fr,32,NON TOTALEMENT EXPORTATRICE
STE IND DES TEXTILES (KSAR HELLAL),Monastir,Ksar hellal,Industries textiles et habillement,MOHAMED TOUZI,(216-)  98 751 880/ 98 751 879,sitex@sitex.com.tn,378,NON TOTALEMENT EXPORTATRICE
STE POLYMAILLE,Monastir,Ksar hellal,Industries textiles et habillement,RIDHA DIMASSI,(216-)  28 833 833/ 73 540 458,polymaille1@topnet.tn,76,NON TOTALEMENT EXPORTATRICE
CREATEX (BEMBLA),Monastir,Bembla,Industries textiles et habillement,TARIK EL MAZZOUJI,(216-)  73 414 449,createx@gnet.tn,51,TOTALEMENT EXPORTATRICE
SAIDA SA,Monastir,Zeramdine,Autres industries extractives,CARCARA GAETANO,(216-)  73 526 428/ 73 526 301,souid@topnet.tn,45,TOTALEMENT EXPORTATRICE
SANCELLA TUNISIE,Monastir,Ksibet el mediouni,"Industrie du papier et du carton, édition et imprimerie",AZIZ ZOUHIR,(216-)  71 116 000/ 73 107 020,hamdilabidi@sancella.com.tn,450,NON TOTALEMENT EXPORTATRICE
BRIQUETERIE LAHMAR ET CIE,Monastir,Jammel,Fabrication d'autres produits non métalliques,ABDELAZIZ LAHMAR,(216-)  73 492 915/ 73 590 851,blc.jammel@gmail.com,620,NON TOTALEMENT EXPORTATRICE
STE DE TISSU EPONGE,Monastir,Sayada lamta bouhjar,Industries textiles et habillement,MOEZ KOOLI,(216-)  71 950 903/ 73 434 999,spongitex@planet.tn,30,NON TOTALEMENT EXPORTATRICE
STE DES TUBES PLASTIQUES ET DE CUIVRES,Monastir,Moknine,Métallurgie et travail des métaux,TAOUFIK HAJ HASSINE,(216-)  71 259 900/ 98 296 800,a-samir@stpc.tn,163,NON TOTALEMENT EXPORTATRICE
STE GLE DE TISSUS EPONGE,Monastir,Sayada lamta bouhjar,Industries textiles et habillement,MOEZ  KOOLI,(216-)  71 950 903/ 73 434 999,sogetiss@planet.tn,30,NON TOTALEMENT EXPORTATRICE
STE MODERNE DE BAS,Monastir,Teboulba,Industries textiles et habillement,MONCEF BEN ELGHALI,(216-)  73 492 774,satina@planet.tn,130,NON TOTALEMENT EXPORTATRICE
ZOHRA GHACHEM,Monastir,Teboulba,Industries textiles et habillement,ZOHRA GHACHEM,(216-)  73 479 076,chico.hamida@gmail.com,58,TOTALEMENT EXPORTATRICE
CONFECTION TOUT VETEMENT,Monastir,Bembla,Industries textiles et habillement,KARIMA BEN ABDALLAH,(216-)  73 414 402,ctv@planet.tn,160,TOTALEMENT EXPORTATRICE
STE IND DES ENERGIES RENOUVELABLES,Tunis,Cite el khadra,Fabrication de machines et équipements,HICHEM KAMMOUN,(216-)  71 801 727/ 71 807 930,kamoun.hichem@hexabyte.tn,13,NON TOTALEMENT EXPORTATRICE
STE SUCRIERE D'AGGLOMERATION ET D'EXPORTATION,Tunis,Tunis medina,Industries agricoles et alimentaires,TAOUFIK DOGHRI,(216-)  71 354 741,sucra@planet.tn,40,NON TOTALEMENT EXPORTATRICE
INFOMED PHARMA,Tunis,La marsa,Industrie chimique,CARLO VERGANI,(216-)  70 939 511/ 70 939 896,mohamed.kaffel@infomedpharma.tn,95,NON TOTALEMENT EXPORTATRICE
MAROQUINERIE  ELAN,Tunis,Sidi el bechir,Industries du cuir et de la chaussure,ABDELHAMID BEN YEDDER,(216-)  71 495 555,macelan@gnet.tn,80,NON TOTALEMENT EXPORTATRICE
TECHNOMARBRE,Tunis,El omrane superieur,Autres industries extractives,SAMI ELLOUZE,(216-)  71 922 209,technomarbre@yahoo.fr,41,NON TOTALEMENT EXPORTATRICE
CIPI ACTIA,Ariana,La Soukra,Fabrication d'equipements électriques et électroniques,HASSOUNA FATNASSI,(216-)  70 838 115,imed.kallala@cipiact.tn,746,TOTALEMENT EXPORTATRICE
LA TNNE DE CONFECTION,Tunis,Cite el khadra,Industries textiles et habillement,NADIA JARRAYA,(216-)  71 804 009,jarrayanadia02@yahoo.fr,25,TOTALEMENT EXPORTATRICE
TJ CONFECTION,Tunis,El omrane superieur,Industries du cuir et de la chaussure,LAMIA BEN ARFA,(216-)  71 933 232,tjconfection@planet.tn,27,TOTALEMENT EXPORTATRICE
STE D'IMPRESSION ET DE DECOUPE,Ben arous,Fouchana,"Industrie du papier et du carton, édition et imprimerie",MOHAMED BEN KHELIFA,(216-)  71 409 493/ 71 409 492,p-imp.side@orange.tn,35,NON TOTALEMENT EXPORTATRICE
STE BEN AYED UNIVERSAL EXPORT,Manouba,Mornaguia,Industries textiles et habillement,MOHAMED OUSSAMA BEN AYED,(216-)  71 540 454,benayed.export@yahoo.fr,92,TOTALEMENT EXPORTATRICE
ELBA TUNISIE,Tunis,La marsa,"Industrie du papier et du carton, édition et imprimerie",FEDI BEN SAAD,(216-)  71 916 679/ 71 916 661,fedi.bensaad@hamelinbrands.com,125,TOTALEMENT EXPORTATRICE
SIMONE TEXTILE,Tunis,El omrane superieur,Industries textiles et habillement,PHILIPPR GRODNER,(216-)  71 921 444,rbenamara@simotex.com.tn,380,TOTALEMENT EXPORTATRICE
HALEY LEATHER,Tunis,El omrane superieur,Industries du cuir et de la chaussure,MONCEF BEN JILANI,(216-)  71 930 700,moncef@hayetleather.com,65,TOTALEMENT EXPORTATRICE
DECO,Nabeul,Grombalia,Industrie du caoutchouc et des plastiques,CHOKRI HMIDI,(216-)  72 213 480,m.kahouli@aremgroup.com,220,TOTALEMENT EXPORTATRICE
BESTOPLAST TUNISIE,Tunis,Jbel jeloud,Industrie du caoutchouc et des plastiques,MONCEF JENANE,(216-)  71 392 532,bestoplast@planet.tn,30,NON TOTALEMENT EXPORTATRICE
TUNISIE ELECTRO TECHNIQUE,Tunis,Cite el khadra,Fabrication d'equipements électriques et électroniques,PETER BISMUTH,(216-)  71 207 100,tet@groupebismuth.com,45,NON TOTALEMENT EXPORTATRICE
TUNISIE ELECTROMENAGER,Tunis,Sijoumi,Fabrication de machines et équipements,HAJER CHAKROUN,(216-)  71 156 000,chakira@chakira.com,12,NON TOTALEMENT EXPORTATRICE
STE ALIF SA,Tunis,Cite el khadra,Industrie chimique,TAREK BEN GHORBEL,(216-)  71 772 212,alif.autoplus@planet.tn,30,NON TOTALEMENT EXPORTATRICE
STE TNNE DE MARBRE (SIDI HASSINE),Tunis,Sidi hassine,Autres industries extractives,FETHI ELLOUZE,(216-)  71 526 285/ 71 559 621,,121,NON TOTALEMENT EXPORTATRICE
STE DES ARTS GRAPHIQUES ET D'IMPRESSION,Ariana,La Soukra,"Industrie du papier et du carton, édition et imprimerie",YOUSRI KAFFEL,(216-)  70 838 484,graphika@graphika.tn,45,NON TOTALEMENT EXPORTATRICE
STE TUNISO-FRANCAISE DE CONFECTION ET DE TRICOTAGE,Tunis,La marsa,Industries textiles et habillement,MOHAMED ENNAIFER,(216-)  71 854 435/ 71 854 436,hanen.akrout@tfce.com.tn,65,TOTALEMENT EXPORTATRICE
STE LA BRIQUE TNNE,Nabeul,Nabeul,Fabrication d'autres produits non métalliques,MOUNIR BEN SLIMENE,(216-)  72 286 718,labriquetnne.direction@planet.tn,208,NON TOTALEMENT EXPORTATRICE
STE DES CARRIERES BEN M'BAREK ET CIE,Nabeul,Grombalia,Autres industries extractives,YOSRI M'BAREK,(216-)  72 250 021/ 97 325 026,carriere.benmbarek@topnet.tn,47,NON TOTALEMENT EXPORTATRICE
STE RACING HORSE,Nabeul,Nabeul,Industries textiles et habillement,STOER MATTIAS,(216-)  72 272 992,rhorse.ad@planet.tn,145,TOTALEMENT EXPORTATRICE
STE SKOURI,Nabeul,Grombalia,Industries agricoles et alimentaires,JALELEDDINE SKOURI,(216-)  72 200 020,skouri.exportation@topnet.tn,50,NON TOTALEMENT EXPORTATRICE
PROTEINES VITAMINEES ALIMENTAIRES,Nabeul,Grombalia,Industries agricoles et alimentaires,ABDELAZIZ GUIDARA,(216-)  72 255 674/ 70 241 140,finance@poulina.com.tn,78,NON TOTALEMENT EXPORTATRICE
HUILERIE BOUZAKOURA,Nabeul,Kelibia,Industries agricoles et alimentaires,MOHAMED BOUZAKOURA,(216-)  72 295 566/ 72 296 393,,10,NON TOTALEMENT EXPORTATRICE
ETS ABDELJAOUED HADIDANE,Nabeul,Nabeul,Industries du cuir et de la chaussure,ABDELJAOUED HADIDANE,(216-)  72 287 985/ 72 224 729,hadidaneabdeljaoued@topnet.tn,12,NON TOTALEMENT EXPORTATRICE
MANUF DES ARTICLES EN CAOUTCHOUC,Nabeul,Grombalia,Industrie du caoutchouc et des plastiques,ABDALLAH KHADDOUMA,(216-)  72 255 285/ 72 256 371,mac.grombalia@hotmail.fr,12,NON TOTALEMENT EXPORTATRICE
STE MACOMET,Nabeul,Bou argoub,Métallurgie et travail des métaux,ABDDERAZEK MAKHLOUFI,(216-)  23 319 211/ 72 259 660,macomet_mounir@yahoo.fr,21,NON TOTALEMENT EXPORTATRICE
STE DE CARROSSERIE & DE CONSTRUCTIONS METALLIQUES,Sousse,Akouda,Fabrication de matériel de transport,BOURAOUI AYACHI,(216-)  73 308 464/ 73 308 382,sccm@planet.tn,39,NON TOTALEMENT EXPORTATRICE
STE MATERIAUX D'ASSAINISSEMENT ET DE CONSTRUCTION,Sousse,Msaken,Fabrication d'autres produits non métalliques,ABDERRAZEK BEN GHALI,(216-)  73 323 456/ 73 323 122,ste.masco@planet.tn,43,NON TOTALEMENT EXPORTATRICE
STE HADRUMETE COMMERCIALE ET INDUSTRIELLE,Sousse,Sousse ville,Industries agricoles et alimentaires,HAMOUDA HERGLI,(216-)  73 221 867,sohaci72@yahoo.fr,15,NON TOTALEMENT EXPORTATRICE
POLY SIEGES,Sousse,Akouda,Autres industries manufacturières,AOUATEF MAAROUF,(216-)  73 342 522,poly.sieges@planet.tn,65,NON TOTALEMENT EXPORTATRICE
AFRI-CHROME,Sousse,Ksiba Zaouia Thrayet,Autres industries manufacturières,HABIB TARMIZ,(216-)  73 386 973,contact@africhrome.com,27,NON TOTALEMENT EXPORTATRICE
STE CHROME DECOR,Sousse,Akouda,Autres industries manufacturières,LOTFI ERNEZ,(216-)  73 248 327/ 73 248 977,chrome.decor@live.fr,20,NON TOTALEMENT EXPORTATRICE
IDEAL MEUBLES,Sousse,Akouda,Autres industries manufacturières,AMOR ZITOUNI,(216-)  73 342 551/ 73 342 291,info@idealmeubles.com,42,NON TOTALEMENT EXPORTATRICE
CIE GLE D'INDUSTRIES ALIMENTAIRES,Sousse,Sousse riadh,Industries agricoles et alimentaires,JOAQUIM MARTINS,(216-)  73 301 899,,120,NON TOTALEMENT EXPORTATRICE
STE LA TRINGLE,Sousse,Akouda,Autres industries manufacturières,NABIL BOUAOUINA,(216-)  73 342 566,la.tringle@gnet.tn,30,NON TOTALEMENT EXPORTATRICE
STE ARABE DES CHAUSSURES EXKLUSIV,Sousse,Hergla,Industries du cuir et de la chaussure,YOUNES KARIM GHACHEM,(216-)  73 251 024/ 73 251 213,sacexclusiv@hotmail.fr,12,NON TOTALEMENT EXPORTATRICE
NEO DETERGENT MESSADINE,Sousse,Msaken,Industrie chimique,MUSTAPHA AOUIOUA,(216-)  73 323 553,direction@neodeme.com,34,NON TOTALEMENT EXPORTATRICE
LES APPLICATIONS MECANIQUES DU CENTRE,Sousse,Msaken,Métallurgie et travail des métaux,SADOK BELHADJ TAHAR,(216-)  73 386 040,a.m.centre@gnet.tn,82,NON TOTALEMENT EXPORTATRICE
STE DE FABRICATION DE SALONS MODERNES,Sousse,Akouda,Autres industries manufacturières,MOHAMED EL ARFAOUI,(216-)  73 342 811/ 73 342 990,sofasam@hotmail.com,28,NON TOTALEMENT EXPORTATRICE
"STE FARJALLAH MOHAMED, HAMIDA  ET  AMOR",Sousse,Bouficha,Fabrication d'autres produits non métalliques,HMIDA FARJALLAH,(216-)  72 227 127,farjallah@topnet.tn,60,NON TOTALEMENT EXPORTATRICE
LAMIRI-TEX,Sousse,Sidi Abdelhamid,Industries textiles et habillement,MAHERZIA LAMIRI,(216-)  73 322 244,lamiritex2008@gmail.com,50,TOTALEMENT EXPORTATRICE
STE CONVERSION DES PAPIERS ET DES CARTONS,Sousse,Akouda,"Industrie du papier et du carton, édition et imprimerie",KHALED BELKHIRIA,(216-)  73 308 577,cpc.pops@hexabyte.tn,10,NON TOTALEMENT EXPORTATRICE
STE ECH CHARK DE TABAC,Sousse,Ksiba Zaouia Thrayet,Industries agricoles et alimentaires,SAMI LABIDI,(216-)  73 387 084/ 58 810 363,finance@shisha.direction,55,TOTALEMENT EXPORTATRICE
STE D'ALIMENTS POUR BETAIL GHRAIEEB ET FILS,Sousse,Msaken,Industries agricoles et alimentaires,MOHAMED GHRAIEB,(216-)  73 260 444/ 73 257 449,sabgef@gmail.com,14,NON TOTALEMENT EXPORTATRICE
BOULANGERIE PATISSERIE GARANEMSA,Sousse,Sousse ville,Industries agricoles et alimentaires,AMOR HANINI,(216-)  24 068 000,garanemsa.tunisie@gmail.com,35,NON TOTALEMENT EXPORTATRICE
STE LES INDUSTRIES NLLES,Sousse,Msaken,Métallurgie et travail des métaux,MAROUANE HAFSA,(216-)  73 323 984/ 73 323 985,marouen@groupe-lin.com,60,NON TOTALEMENT EXPORTATRICE
STE TNNE DES SERRES MODERNES,Sousse,Sidi bou ali,Métallurgie et travail des métaux,HICHEM CHEBIL,(216-)  71 346 490/ 98 404 017,slah.ch@hotmail.com,10,NON TOTALEMENT EXPORTATRICE
STE BOUHLEL ART ET BOIS,Sousse,Msaken,Autres industries manufacturières,MOHAMED BOUHLAL,(216-)  73 312 127,art-et-bois@hotmail.fr,10,NON TOTALEMENT EXPORTATRICE
FONDERIE KHAYECHE ET CIE,Sousse,Sidi Abdelhamid,Métallurgie et travail des métaux,ALI KHAYECHE,(216-)  73 322 775,fonderie.khayache@gnet.tn,30,NON TOTALEMENT EXPORTATRICE
STE DE DEVELOPPEMENT DU PLASTIQUE,Sousse,Akouda,Industrie du caoutchouc et des plastiques,SAID ATTIG,(216-)  73 309 733/ 73 309 112,sodeplast1985@gmail.com,26,NON TOTALEMENT EXPORTATRICE
ETS MELLOULI ABDELKADER,Sousse,Sidi Abdelhamid,Métallurgie et travail des métaux,ABDELKADER MELLOULI,(216-)  73 231 646,et.mellouli@planet.tn,45,NON TOTALEMENT EXPORTATRICE
FREJ JEDIDI (ALUMINIUM DU SAHEL),Sousse,Hammam sousse,Métallurgie et travail des métaux,FREJ JEDIDI,(216-)  73 342 418/ 73 342 351,info@aluminiumdusahel.com,15,NON TOTALEMENT EXPORTATRICE
STE CHAHED DE REFRIGERATION,Sousse,Akouda,Fabrication de machines et équipements,ZOUHEIR CHAHED,(216-)  73 343 301/ 73 343 302,chahed@planet.tn,75,NON TOTALEMENT EXPORTATRICE
TUNIPRINT,Tunis,La marsa,Industries textiles et habillement,IBRAHIMA DIALO,(216-)  26 500 017,tuniprint@planet.tn,12,TOTALEMENT EXPORTATRICE
RR TUNISIE ELECTRONIC SARL,Sousse,Kalaa seghira,Fabrication d'equipements électriques et électroniques,RODL JURGAN,(216-)  73 249 991,rrte.direction@rrelectronic.com,60,TOTALEMENT EXPORTATRICE
STE LABENTEX,Sousse,Kalaa kebira,Industries textiles et habillement,JACQUES LARROYE,(216-)  73 253 591,labentex@topnet.tn,110,TOTALEMENT EXPORTATRICE
VEGA CONFECTION,Sousse,Kalaa kebira,Industries textiles et habillement,HASSEN AOUINA,(216-)  73 350 177/ 24 772 559,aouina.hassen@planet.tn,345,TOTALEMENT EXPORTATRICE
INDUSTRIE MANUF DE CONFECTION,Sousse,Akouda,Industries textiles et habillement,HAMADI BIDHANI,(216-)  73 356 266/ 73 356 267,bidhani.hamadi@topnet.tn,45,TOTALEMENT EXPORTATRICE
STE MAGHREBINE D'ORFEVRERIE,Sousse,Kalaa kebira,Métallurgie et travail des métaux,SARRA ZOUARI,(216-)  73 342 655/ 73 812 026,maghorf@planet.tn,30,NON TOTALEMENT EXPORTATRICE
EIKO TUNISIE,Sousse,Msaken,Industries textiles et habillement,BORRIES NORD,(216-)  73 323 073,nord@eiko.de,50,TOTALEMENT EXPORTATRICE
STE TNNE DE CREATION DE MODE,Sousse,Kalaa kebira,Industries textiles et habillement,ALI GHEDAMSI,(216-)  70 242 720,info@creomoda.com.tn,200,TOTALEMENT EXPORTATRICE
TEXTILES DE HERGLA,Sousse,Hergla,Industries textiles et habillement,IMEDEDDINE KAROUI,(216-)  73 251 363,textherproduction@gmail.com,183,TOTALEMENT EXPORTATRICE
STE HANDY,Sousse,Hammam sousse,Industries textiles et habillement,ABDENNACEUR LAHOUAR,(216-)  73 361 282,handy@topnet.tn,36,TOTALEMENT EXPORTATRICE
UNITE DE FABRICATION DE MEDICAMENTS,Sousse,Kalaa kebira,Industrie chimique,RIDHA CHARFEDDINE,(216-)  70 147 482/ 70 029 501,c.lotfi@unimed.com.tn,765,NON TOTALEMENT EXPORTATRICE
STE FAWANIS,Sousse,Sidi Abdelhamid,Fabrication d'equipements électriques et électroniques,RIDHA CHEBIL,(216-)  73 322 888/ 73 322 889,fawanis@planet.tn,80,NON TOTALEMENT EXPORTATRICE
CARTONNERIE TUNISIENNE,Sousse,Enfidha,"Industrie du papier et du carton, édition et imprimerie",SALAH EL OMRI,(216-)  70 603 450/ 70 603 412,slim.kochlef@utic.com.tn,105,NON TOTALEMENT EXPORTATRICE
EURO CYCLES,Sousse,Kalaa kebira,Fabrication de matériel de transport,HABIB ESSAYEH,(216-)  29 888 340/ 73 342 037,mourad.ghazi@euro.cycles.com,370,TOTALEMENT EXPORTATRICE
BM CONFECTION,Sousse,Sidi bou ali,Industries textiles et habillement,ROMDHANE BEN MANSOUR,(216-)  95 726 875,bmconfection@yahoo.fr,60,TOTALEMENT EXPORTATRICE
MD CONFECTION,Sousse,Msaken,Industries textiles et habillement,BAYOD MANUEL,(216-)  73 323 277/ 73 323 212,mdconfection0109@gmail.com,253,TOTALEMENT EXPORTATRICE
FLOTEX,Sousse,Akouda,Industries textiles et habillement,VIRGINIE JARROT BEN AMEUR,(216-)  73 342 510,flc.medtex@planet.tn,60,TOTALEMENT EXPORTATRICE
TNNE IND DE DETERGENTS,Sousse,Ksiba Zaouia Thrayet,Industrie chimique,KAIS BOUAZRA,(216-)  73 386 444/ 73 386 848,commercial@tid.com.tn,40,NON TOTALEMENT EXPORTATRICE
INTER MEUBLE,Sousse,Hammam sousse,Autres industries manufacturières,MOHAMED NEJIB BETTAIEB,(216-)  73 343 290/ 73 343 291,achatintermeuble@gmail.com,160,NON TOTALEMENT EXPORTATRICE
GAMA SAC,Sousse,Enfidha,"Industrie du papier et du carton, édition et imprimerie",ANIS EL GHOUL,(216-)  73 250 211,gama.sac@planet.tn,45,NON TOTALEMENT EXPORTATRICE
TUNISIE TEXTILE (M'SAKEN),Sousse,Msaken,Industries textiles et habillement,JAMILA BEN JEDIDA,(216-)  73 285 850,benjedida.taoufik@planet.tn,80,TOTALEMENT EXPORTATRICE
TECHNOGOM BOTTCHER,Sousse,Msaken,Industrie du caoutchouc et des plastiques,HABIB  BOUSLAMA,(216-)  73 323 410,hbouslama@technogom.com,21,NON TOTALEMENT EXPORTATRICE
FRESENIUS MEDICAL CARE TUNISIE,Sousse,Kalaa kebira,Industrie chimique,BECHIR GAALOUL,(216-)  73 342 600,contact@adhe-els.com.tn,21,NON TOTALEMENT EXPORTATRICE
